"filename", "language", "C++", "LaTeX", "Markdown", "CMake", "SVG", "qml", "JSON", "CSV", "comment", "blank", "total"
"d:\study\train\RailwaySystem\qml\pages\PersonalInfoDialog.qml", "qml", 0, 0, 0, 0, 0, 171, 0, 0, 11, 16, 198
"d:\study\train\RailwaySystem\qml\pages\Profile.qml", "qml", 0, 0, 0, 0, 0, 295, 0, 0, 22, 27, 344
"d:\study\train\RailwaySystem\qml\pages\RegisterDialog.qml", "qml", 0, 0, 0, 0, 0, 280, 0, 0, 11, 21, 312
"d:\study\train\RailwaySystem\qml\pages\ResetPasswordDialog.qml", "qml", 0, 0, 0, 0, 0, 140, 0, 0, 11, 16, 167
"d:\study\train\RailwaySystem\qml\pages\StationListDialog.qml", "qml", 0, 0, 0, 0, 0, 104, 0, 0, 7, 20, 131
"d:\study\train\RailwaySystem\qml\pages\SubmitOrderDialog.qml", "qml", 0, 0, 0, 0, 0, 202, 0, 0, 37, 23, 262
"d:\study\train\RailwaySystem\qml\pages\TicketQuery.qml", "qml", 0, 0, 0, 0, 0, 319, 0, 0, 19, 49, 387
"d:\study\train\RailwaySystem\qml\pages\TicketQueryResult.qml", "qml", 0, 0, 0, 0, 0, 479, 0, 0, 100, 59, 638
"d:\study\train\RailwaySystem\qml\pages\Timetable.qml", "qml", 0, 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"d:\study\train\RailwaySystem\qml\pages\TimetableManagement.qml", "qml", 0, 0, 0, 0, 0, 199, 0, 0, 17, 31, 247
"d:\study\train\RailwaySystem\qml\pages\TrainManagement.qml", "qml", 0, 0, 0, 0, 0, 454, 0, 0, 43, 48, 545
"d:\study\train\RailwaySystem\qml\pages\UserManagement.qml", "qml", 0, 0, 0, 0, 0, 271, 0, 0, 17, 33, 321
"d:\study\train\RailwaySystem\resources\icon\arrow.svg", "SVG", 0, 0, 0, 0, 48, 0, 0, 0, 0, 1, 49
"d:\study\train\RailwaySystem\softwareTest\测试报告.tex", "LaTeX", 0, 1217, 0, 0, 0, 0, 0, 0, 9, 112, 1338
"d:\study\train\RailwaySystem\station.cpp", "C++", 37, 0, 0, 0, 0, 0, 0, 0, 0, 11, 48
"d:\study\train\RailwaySystem\station.h", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"d:\study\train\RailwaySystem\stationmanager.cpp", "C++", 116, 0, 0, 0, 0, 0, 0, 0, 2, 19, 137
"d:\study\train\RailwaySystem\stationmanager.h", "C++", 29, 0, 0, 0, 0, 0, 0, 0, 1, 6, 36
"d:\study\train\RailwaySystem\test\顺序表-解锁.svg", "SVG", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\study\train\RailwaySystem\time.cpp", "C++", 100, 0, 0, 0, 0, 0, 0, 0, 1, 21, 122
"d:\study\train\RailwaySystem\time.h", "C++", 29, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"d:\study\train\RailwaySystem\timetable.cpp", "C++", 193, 0, 0, 0, 0, 0, 0, 0, 0, 18, 211
"d:\study\train\RailwaySystem\timetable.h", "C++", 29, 0, 0, 0, 0, 0, 0, 0, 10, 6, 45
"d:\study\train\RailwaySystem\tmp.qml", "qml", 0, 0, 0, 0, 0, 212, 0, 0, 30, 41, 283
"d:\study\train\RailwaySystem\train.cpp", "C++", 94, 0, 0, 0, 0, 0, 0, 0, 0, 16, 110
"d:\study\train\RailwaySystem\train.h", "C++", 29, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"d:\study\train\RailwaySystem\trainmanager.cpp", "C++", 228, 0, 0, 0, 0, 0, 0, 0, 5, 27, 260
"d:\study\train\RailwaySystem\trainmanager.h", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 5, 8, 43
"d:\study\train\RailwaySystem\user.cpp", "C++", 72, 0, 0, 0, 0, 0, 0, 0, 0, 17, 89
"d:\study\train\RailwaySystem\user.h", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"d:\study\train\RailwaySystem\userprofile.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 13, 62
"d:\study\train\RailwaySystem\userprofile.h", "C++", 26, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"Total", "-", 3309, 1217, 368, 59, 49, 9477, 1, 267, 1046, 1812, 17605
